,product,group,date,buy,sell,diff
0,Nikkei sum,1,2021-01-19,8394.0,4913.4000000000015,1817.4
1,Nikkei sum,1,2021-01-20,8207.800000000001,10081.3,1648.6
2,Nikkei sum,1,2021-01-21,5303.0999999999985,3406.9,1896.2
3,Nikkei sum,1,2021-01-22,3967.2,4473.2,-506.0
4,Nikkei sum,1,2021-01-25,5080.8,5120.1,-39.299999999999976
5,Nikkei sum,1,2021-01-25,5080.8,5120.1,-39.299999999999976
6,Nikkei sum,1,2021-01-26,4769.6,6534.8,-1207.1999999999996
7,Nikkei sum,1,2021-01-26,4769.6,6534.8,-1207.1999999999996
8,Nikkei sum,1,2021-01-27,4793.4,3540.3,1253.1
9,Nikkei sum,1,2021-01-27,4793.4,3540.3,1253.1
10,Nikkei sum,1,2021-01-28,6156.8,12130.2,-6413.400000000002
11,Nikkei sum,1,2021-01-28,6156.8,12130.2,-6413.400000000002
12,Nikkei sum,1,2021-01-28,6156.8,12130.2,-6413.400000000002
13,Nikkei sum,1,2021-01-28,6156.8,12130.2,-6413.400000000002
14,Nikkei sum,1,2021-02-01,8623.5,6015.5,1616.1999999999994
15,Nikkei sum,1,2021-02-02,9671.3,8877.699999999999,793.5999999999997
16,Nikkei sum,1,2021-02-03,9178.2,8627.2,411.9
17,Nikkei sum,1,2021-02-04,7187.1,10427.4,-3247.7
18,Nikkei sum,1,2021-02-05,12627.8,7375.5,3360.4
19,Nikkei sum,1,2021-02-08,12637.8,10117.9,-848.9
20,Nikkei sum,1,2021-02-09,10226.5,9027.8,1198.6999999999996
21,Nikkei sum,1,2021-02-10,4568.4,17514.4,-9365.0
22,Nikkei sum,1,2021-02-12,8167.200000000003,13333.1,-4275.9
92,Nikkei sum,1,2021-02-12,8167.200000000002,13333.1,-4275.9
23,Nikkei sum,2,2021-01-19,60979.6,65131.8,-3453.200000000005
24,Nikkei sum,2,2021-01-20,61867.6,61252.8,897.8000000000003
25,Nikkei sum,2,2021-01-21,49484.9,52649.59999999999,-1592.6999999999966
26,Nikkei sum,2,2021-01-22,44271.4,46708.7,-2437.3000000000025
27,Nikkei sum,2,2021-01-25,42894.6,44846.2,-1780.999999999999
28,Nikkei sum,2,2021-01-25,42894.6,44846.2,-1780.999999999999
29,Nikkei sum,2,2021-01-26,46072.0,45322.90000000001,471.09999999999854
30,Nikkei sum,2,2021-01-26,46072.0,45322.90000000001,471.09999999999854
31,Nikkei sum,2,2021-01-27,43536.6,47279.0,-2477.4000000000005
32,Nikkei sum,2,2021-01-27,43536.6,47279.0,-2477.4000000000005
33,Nikkei sum,2,2021-01-28,94167.8,89890.0,3039.799999999999
34,Nikkei sum,2,2021-01-28,94167.8,89890.0,3039.799999999999
35,Nikkei sum,2,2021-01-28,94167.8,89890.0,3039.799999999999
36,Nikkei sum,2,2021-01-28,94167.8,89890.0,3039.799999999999
37,Nikkei sum,2,2021-02-01,61869.4,64535.8,-3728.4
38,Nikkei sum,2,2021-02-02,59879.7,62955.8,-3076.0999999999967
39,Nikkei sum,2,2021-02-03,59239.8,58417.09999999999,823.7000000000024
40,Nikkei sum,2,2021-02-04,62589.5,58790.5,3791.999999999998
41,Nikkei sum,2,2021-02-05,60463.69999999999,62027.5,-2063.7
42,Nikkei sum,2,2021-02-08,85006.29999999999,83521.8,27.499999999999773
43,Nikkei sum,2,2021-02-09,60137.3,62310.5,-2173.2000000000044
44,Nikkei sum,2,2021-02-10,43776.0,48184.7,-4570.699999999998
45,Nikkei sum,2,2021-02-12,44958.9,42350.7,2267.2000000000007
93,Nikkei sum,2,2021-02-12,44958.9,42350.7,2267.2000000000007
46,Nikkei sum,3,2021-01-19,6825.700000000003,4526.0,2141.4
47,Nikkei sum,3,2021-01-20,7540.0,8633.9,-3488.9
48,Nikkei sum,3,2021-01-21,6631.2,5253.7,1379.5
49,Nikkei sum,3,2021-01-22,1255.4,6301.0,-4651.2
50,Nikkei sum,3,2021-01-25,5388.5,3609.4,1468.1
51,Nikkei sum,3,2021-01-25,5388.5,3609.4,1468.1
52,Nikkei sum,3,2021-01-26,5443.299999999998,5672.299999999997,-184.0
53,Nikkei sum,3,2021-01-26,5443.299999999998,5672.299999999997,-184.0
54,Nikkei sum,3,2021-01-27,6172.700000000003,4131.0,1735.7
55,Nikkei sum,3,2021-01-27,6172.700000000003,4131.0,1735.7
56,Nikkei sum,3,2021-01-28,6298.900000000002,8460.2,-3032.2
57,Nikkei sum,3,2021-01-28,6298.900000000002,8460.2,-3032.2
58,Nikkei sum,3,2021-01-28,6298.900000000002,8460.2,-3032.2
59,Nikkei sum,3,2021-01-28,6298.900000000002,8460.2,-3032.2
60,Nikkei sum,3,2021-02-01,8775.800000000001,5847.6,2928.2
61,Nikkei sum,3,2021-02-02,4436.6,3103.9,1332.6999999999996
62,Nikkei sum,3,2021-02-03,4111.5,3770.3,341.2000000000001
63,Nikkei sum,3,2021-02-04,3090.6,6312.4,-2292.8
64,Nikkei sum,3,2021-02-05,5649.1,5024.4000000000015,692.5999999999997
65,Nikkei sum,3,2021-02-08,10374.4,9874.1,465.3000000000001
66,Nikkei sum,3,2021-02-09,5772.200000000003,6672.799999999997,388.5
67,Nikkei sum,3,2021-02-10,2906.8,8201.3,-5912.0
68,Nikkei sum,3,2021-02-12,6719.5,4108.4,1862.4
94,Nikkei sum,3,2021-02-12,6719.5,4108.4,1862.4
69,Nikkei sum,4,2021-01-19,19170.8,20709.0,-1411.9000000000005
70,Nikkei sum,4,2021-01-20,19792.3,18083.000000000004,1707.3000000000006
71,Nikkei sum,4,2021-01-21,14860.3,15724.7,-961.8999999999997
72,Nikkei sum,4,2021-01-22,9775.5,12336.4,-2898.9
73,Nikkei sum,4,2021-01-25,13696.4,14488.4,-895.2
74,Nikkei sum,4,2021-01-25,13696.4,14488.4,-895.2
75,Nikkei sum,4,2021-01-26,15377.9,13675.3,1701.0000000000007
76,Nikkei sum,4,2021-01-26,15377.9,13675.3,1701.0000000000007
77,Nikkei sum,4,2021-01-27,13316.2,13301.4,16.39999999999995
78,Nikkei sum,4,2021-01-27,13316.2,13301.4,16.39999999999995
79,Nikkei sum,4,2021-01-28,26359.30000000001,25423.6,1704.500000000001
80,Nikkei sum,4,2021-01-28,26359.30000000001,25423.6,1704.500000000001
81,Nikkei sum,4,2021-01-28,26359.30000000001,25423.6,1704.500000000001
82,Nikkei sum,4,2021-01-28,26359.30000000001,25423.6,1704.500000000001
83,Nikkei sum,4,2021-02-01,17676.0,19606.1,-2520.100000000001
84,Nikkei sum,4,2021-02-02,18179.5,17823.9,355.60000000000014
85,Nikkei sum,4,2021-02-03,17525.3,18253.5,-878.499999999999
86,Nikkei sum,4,2021-02-04,16728.2,14459.800000000005,2267.5999999999995
87,Nikkei sum,4,2021-02-05,16475.899999999998,19094.300000000007,-2924.200000000001
88,Nikkei sum,4,2021-02-08,21709.4,24120.7,-2410.2999999999993
89,Nikkei sum,4,2021-02-09,17615.9,16898.0,878.6000000000005
90,Nikkei sum,4,2021-02-10,10137.0,12274.7,-1917.8
91,Nikkei sum,4,2021-02-12,13823.9,13181.099999999995,642.8000000000006
95,Nikkei sum,4,2021-02-12,13823.9,13181.099999999995,642.8000000000006
0,Nikkei sum,1,2021-02-10,4568.4,17514.4,-9365.0
5,Nikkei sum,2,2021-02-10,43776.0,48184.7,-4570.699999999998
10,Nikkei sum,3,2021-02-10,2906.8,8201.3,-5912.0
15,Nikkei sum,4,2021-02-10,10137.0,12274.699999999999,-1917.8000000000002
96,TOPIX,1,2021-01-19,5726.0,3778.0,1948.0
97,TOPIX,1,2021-01-20,6507.0,6407.0,100.0
98,TOPIX,1,2021-01-21,9593.0,5358.0,4235.0
99,TOPIX,1,2021-01-22,3356.0,6287.0,-2931.0
100,TOPIX,1,2021-01-25,5651.0,4142.0,1509.0
101,TOPIX,1,2021-01-25,5651.0,4142.0,1509.0
102,TOPIX,1,2021-01-26,7894.0,5496.0,2398.0
103,TOPIX,1,2021-01-26,7894.0,5496.0,2398.0
104,TOPIX,1,2021-01-27,9143.0,9342.0,-199.0
105,TOPIX,1,2021-01-27,9143.0,9342.0,-199.0
106,TOPIX,1,2021-01-28,7802.0,10482.0,-2680.0
107,TOPIX,1,2021-01-28,7802.0,10482.0,-2680.0
108,TOPIX,1,2021-01-28,7802.0,10482.0,-2680.0
109,TOPIX,1,2021-01-28,7802.0,10482.0,-2680.0
110,TOPIX,1,2021-02-01,11515.0,10364.0,1151.0
111,TOPIX,1,2021-02-02,9009.0,6202.0,2807.0
112,TOPIX,1,2021-02-03,7482.0,4582.0,2900.0
113,TOPIX,1,2021-02-04,6903.0,5758.0,1145.0
114,TOPIX,1,2021-02-05,14220.0,6248.0,7972.0
115,TOPIX,1,2021-02-08,16201.0,12031.0,4170.0
116,TOPIX,1,2021-02-09,13881.0,7977.0,5904.0
117,TOPIX,1,2021-02-10,8368.0,7194.0,1174.0
118,TOPIX,1,2021-02-12,5991.0,6171.0,-180.0
188,TOPIX,1,2021-02-12,5991.0,6171.0,-180.0
119,TOPIX,2,2021-01-19,28218.0,29154.0,81.0
120,TOPIX,2,2021-01-20,27860.0,32197.0,-4012.0
121,TOPIX,2,2021-01-21,29033.0,30993.0,-1960.0
122,TOPIX,2,2021-01-22,20943.0,20849.0,94.0
123,TOPIX,2,2021-01-25,22801.0,21866.0,402.0
124,TOPIX,2,2021-01-25,22801.0,21866.0,402.0
125,TOPIX,2,2021-01-26,25778.0,28325.0,-2547.0
126,TOPIX,2,2021-01-26,25778.0,28325.0,-2547.0
127,TOPIX,2,2021-01-27,25779.0,25425.0,354.0
128,TOPIX,2,2021-01-27,25779.0,25425.0,354.0
129,TOPIX,2,2021-01-28,47550.0,47468.0,82.0
130,TOPIX,2,2021-01-28,47550.0,47468.0,82.0
