,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11256,ＳＢＩ証券,SBI SECURITIES,5,11256,ＳＢＩ証券,SBI SECURITIES,5,166030005,FUT_TOPIX_2103,2021-01-19
5,11788,ソシエテ・ジェネラル,Societe Generale,484,11746,ＵＢＳ証券,UBS Securities Japan,377,166030018,FUT_NK225_2103,2021-01-19
6,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,348,11788,ソシエテ・ジェネラル,Societe Generale,364,166030018,FUT_NK225_2103,2021-01-19
7,11256,ＳＢＩ証券,SBI SECURITIES,143,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,164,166030018,FUT_NK225_2103,2021-01-19
8,12800,モルガンスタンレー,Morgan Stanley MUFG,122,11256,ＳＢＩ証券,SBI SECURITIES,143,166030018,FUT_NK225_2103,2021-01-19
9,11746,ＵＢＳ証券,UBS Securities Japan,48,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),83,166030018,FUT_NK225_2103,2021-01-19
10,11696,みずほ証券,Mizuho Securities,38,12800,モルガンスタンレー,Morgan Stanley MUFG,38,166030018,FUT_NK225_2103,2021-01-19
11,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,34,11560,ゴールドマンサックス,Goldman Sachs Japan,33,166030018,FUT_NK225_2103,2021-01-19
12,12400,野村證券,Nomura Securities,21,12400,野村證券,Nomura Securities,21,166030018,FUT_NK225_2103,2021-01-19
13,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),3,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,18,166030018,FUT_NK225_2103,2021-01-19
14,12792,BofA証券,BofA Securities,1,12792,BofA証券,BofA Securities,1,166030018,FUT_NK225_2103,2021-01-19
17,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,166060018,FUT_NK225_2106,2021-01-19
20,11256,ＳＢＩ証券,SBI SECURITIES,890,11256,ＳＢＩ証券,SBI SECURITIES,890,166020019,FUT_NK225M_2102,2021-01-19
23,11256,ＳＢＩ証券,SBI SECURITIES,9209,11256,ＳＢＩ証券,SBI SECURITIES,9209,166030019,FUT_NK225M_2103,2021-01-19
24,12800,モルガンスタンレー,Morgan Stanley MUFG,54,12800,モルガンスタンレー,Morgan Stanley MUFG,54,166030019,FUT_NK225M_2103,2021-01-19
27,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,166040019,FUT_NK225M_2104,2021-01-19
30,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,186027718,PUT_NK225_210212_27750,2021-01-19
33,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,136027818,PUT_NK225_210212_27875,2021-01-19
36,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,11746,ＵＢＳ証券,UBS Securities Japan,200,186028018,PUT_NK225_210212_28000,2021-01-19
37,11256,ＳＢＩ証券,SBI SECURITIES,11,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,186028018,PUT_NK225_210212_28000,2021-01-19
38,-,-,-,-,11256,ＳＢＩ証券,SBI SECURITIES,11,186028018,PUT_NK225_210212_28000,2021-01-19
41,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,186028218,PUT_NK225_210212_28250,2021-01-19
44,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,186028518,PUT_NK225_210212_28500,2021-01-19
47,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,146029618,CAL_NK225_210212_29625,2021-01-19
50,11560,ゴールドマンサックス,Goldman Sachs Japan,100,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,196029518,CAL_NK225_210212_29500,2021-01-19
51,11256,ＳＢＩ証券,SBI SECURITIES,11,11256,ＳＢＩ証券,SBI SECURITIES,11,196029518,CAL_NK225_210212_29500,2021-01-19
54,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,146029318,CAL_NK225_210212_29375,2021-01-19
57,11256,ＳＢＩ証券,SBI SECURITIES,4,11256,ＳＢＩ証券,SBI SECURITIES,4,196029218,CAL_NK225_210212_29250,2021-01-19
60,11256,ＳＢＩ証券,SBI SECURITIES,1,11256,ＳＢＩ証券,SBI SECURITIES,1,146029118,CAL_NK225_210212_29125,2021-01-19
63,11746,ＵＢＳ証券,UBS Securities Japan,200,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,300,196029018,CAL_NK225_210212_29000,2021-01-19
64,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,100,11256,ＳＢＩ証券,SBI SECURITIES,49,196029018,CAL_NK225_210212_29000,2021-01-19
65,11256,ＳＢＩ証券,SBI SECURITIES,49,-,-,-,-,196029018,CAL_NK225_210212_29000,2021-01-19
68,11256,ＳＢＩ証券,SBI SECURITIES,2,11256,ＳＢＩ証券,SBI SECURITIES,2,146028818,CAL_NK225_210212_28875,2021-01-19
