,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4754,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,4574,165090005,FUT_TOPIX_2009,2020-08-25
3,11788,ソシエテ・ジェネラル,Societe Generale,2345,11788,ソシエテ・ジェネラル,Societe Generale,2004,165090005,FUT_TOPIX_2009,2020-08-25
4,11714,ＪＰモルガン証券,JPMorgan Japan,587,11635,クレディ・スイス証券,Credit Suisse Japan,679,165090005,FUT_TOPIX_2009,2020-08-25
5,12792,メリルリンチ日本証券,Merrill Lynch Japan,567,12792,メリルリンチ日本証券,Merrill Lynch Japan,468,165090005,FUT_TOPIX_2009,2020-08-25
6,11635,クレディ・スイス証券,Credit Suisse Japan,348,11714,ＪＰモルガン証券,JPMorgan Japan,463,165090005,FUT_TOPIX_2009,2020-08-25
7,12800,モルガンスタンレー,Morgan Stanley MUFG,261,12410,バークレイズ証券,Barclays Japan,438,165090005,FUT_TOPIX_2009,2020-08-25
8,12410,バークレイズ証券,Barclays Japan,165,11560,ゴールドマンサックス,Goldman Sachs Japan,287,165090005,FUT_TOPIX_2009,2020-08-25
9,11560,ゴールドマンサックス,Goldman Sachs Japan,132,12800,モルガンスタンレー,Morgan Stanley MUFG,236,165090005,FUT_TOPIX_2009,2020-08-25
10,12795,インタラクティブ証券,Interactive Brokers,129,12724,ＨＳＢＣ証券,HSBC (Japan),145,165090005,FUT_TOPIX_2009,2020-08-25
11,12400,野村證券,Nomura Securities,112,11792,シティグループ証券,Citigroup Japan,108,165090005,FUT_TOPIX_2009,2020-08-25
12,11256,ＳＢＩ証券,SBI SECURITIES,100,11746,ＵＢＳ証券,UBS Securities Japan,82,165090005,FUT_TOPIX_2009,2020-08-25
13,12336,日産証券,Nissan Securities,69,11256,ＳＢＩ証券,SBI SECURITIES,79,165090005,FUT_TOPIX_2009,2020-08-25
14,11272,岡三証券,OKASAN SECURITIES,64,12336,日産証券,Nissan Securities,63,165090005,FUT_TOPIX_2009,2020-08-25
15,11792,シティグループ証券,Citigroup Japan,62,12400,野村證券,Nomura Securities,56,165090005,FUT_TOPIX_2009,2020-08-25
16,11060,ａｕカブコム証券,au Kabucom Securitie,48,12888,山和証券,YAMAWA SECURITIES,50,165090005,FUT_TOPIX_2009,2020-08-25
17,12888,山和証券,YAMAWA SECURITIES,36,11060,ａｕカブコム証券,au Kabucom Securitie,37,165090005,FUT_TOPIX_2009,2020-08-25
18,11746,ＵＢＳ証券,UBS Securities Japan,17,11272,岡三証券,OKASAN SECURITIES,36,165090005,FUT_TOPIX_2009,2020-08-25
19,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),10,12795,インタラクティブ証券,Interactive Brokers,5,165090005,FUT_TOPIX_2009,2020-08-25
20,11696,みずほ証券,Mizuho Securities,6,11512,光世証券,The Kosei Securities,5,165090005,FUT_TOPIX_2009,2020-08-25
21,11512,光世証券,The Kosei Securities,5,12176,ドイツ証券,Deutsche Securities,4,165090005,FUT_TOPIX_2009,2020-08-25
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,5854,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,5460,165090018,FUT_NK225_2009,2020-08-25
25,11788,ソシエテ・ジェネラル,Societe Generale,3737,11788,ソシエテ・ジェネラル,Societe Generale,4002,165090018,FUT_NK225_2009,2020-08-25
26,11256,ＳＢＩ証券,SBI SECURITIES,488,11256,ＳＢＩ証券,SBI SECURITIES,651,165090018,FUT_NK225_2009,2020-08-25
27,12560,松井証券,MATSUI SECURITIES,351,12792,メリルリンチ日本証券,Merrill Lynch Japan,530,165090018,FUT_NK225_2009,2020-08-25
28,12057,楽天証券,Rakuten Securities,336,12057,楽天証券,Rakuten Securities,330,165090018,FUT_NK225_2009,2020-08-25
29,12336,日産証券,Nissan Securities,313,12560,松井証券,MATSUI SECURITIES,284,165090018,FUT_NK225_2009,2020-08-25
30,12792,メリルリンチ日本証券,Merrill Lynch Japan,260,11060,ａｕカブコム証券,au Kabucom Securitie,222,165090018,FUT_NK225_2009,2020-08-25
31,11060,ａｕカブコム証券,au Kabucom Securitie,225,12800,モルガンスタンレー,Morgan Stanley MUFG,160,165090018,FUT_NK225_2009,2020-08-25
32,12330,マネックス証券,Monex,165,11714,ＪＰモルガン証券,JPMorgan Japan,145,165090018,FUT_NK225_2009,2020-08-25
33,11635,クレディ・スイス証券,Credit Suisse Japan,157,11727,ＧＭＯクリック証券,GMO CLICK Securities,132,165090018,FUT_NK225_2009,2020-08-25
34,12400,野村證券,Nomura Securities,136,12410,バークレイズ証券,Barclays Japan,122,165090018,FUT_NK225_2009,2020-08-25
35,11727,ＧＭＯクリック証券,GMO CLICK Securities,126,12336,日産証券,Nissan Securities,120,165090018,FUT_NK225_2009,2020-08-25
36,11560,ゴールドマンサックス,Goldman Sachs Japan,117,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),102,165090018,FUT_NK225_2009,2020-08-25
37,11714,ＪＰモルガン証券,JPMorgan Japan,85,11635,クレディ・スイス証券,Credit Suisse Japan,75,165090018,FUT_NK225_2009,2020-08-25
38,12072,東海東京証券,Tokai Tokyo Sec,65,11560,ゴールドマンサックス,Goldman Sachs Japan,66,165090018,FUT_NK225_2009,2020-08-25
39,12800,モルガンスタンレー,Morgan Stanley MUFG,60,12330,マネックス証券,Monex,64,165090018,FUT_NK225_2009,2020-08-25
40,11746,ＵＢＳ証券,UBS Securities Japan,50,11696,みずほ証券,Mizuho Securities,61,165090018,FUT_NK225_2009,2020-08-25
41,12724,ＨＳＢＣ証券,HSBC (Japan),32,12000,大和証券,Daiwa Securities,48,165090018,FUT_NK225_2009,2020-08-25
42,12888,山和証券,YAMAWA SECURITIES,31,11784,ライブスター証券,livestar Securities,47,165090018,FUT_NK225_2009,2020-08-25
43,11272,岡三証券,OKASAN SECURITIES,30,12795,インタラクティブ証券,Interactive Brokers,43,165090018,FUT_NK225_2009,2020-08-25
46,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,74,12336,日産証券,Nissan Securities,70,165120018,FUT_NK225_2012,2020-08-25
47,12057,楽天証券,Rakuten Securities,52,12057,楽天証券,Rakuten Securities,55,165120018,FUT_NK225_2012,2020-08-25
48,12336,日産証券,Nissan Securities,30,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,39,165120018,FUT_NK225_2012,2020-08-25
49,12560,松井証券,MATSUI SECURITIES,24,11788,ソシエテ・ジェネラル,Societe Generale,32,165120018,FUT_NK225_2012,2020-08-25
50,11060,ａｕカブコム証券,au Kabucom Securitie,20,12560,松井証券,MATSUI SECURITIES,26,165120018,FUT_NK225_2012,2020-08-25
51,12330,マネックス証券,Monex,15,11060,ａｕカブコム証券,au Kabucom Securitie,8,165120018,FUT_NK225_2012,2020-08-25
52,11788,ソシエテ・ジェネラル,Societe Generale,14,12000,大和証券,Daiwa Securities,7,165120018,FUT_NK225_2012,2020-08-25
53,11256,ＳＢＩ証券,SBI SECURITIES,13,11256,ＳＢＩ証券,SBI SECURITIES,6,165120018,FUT_NK225_2012,2020-08-25
54,11727,ＧＭＯクリック証券,GMO CLICK Securities,9,11727,ＧＭＯクリック証券,GMO CLICK Securities,5,165120018,FUT_NK225_2012,2020-08-25
55,11272,岡三証券,OKASAN SECURITIES,5,11272,岡三証券,OKASAN SECURITIES,4,165120018,FUT_NK225_2012,2020-08-25
56,12792,メリルリンチ日本証券,Merrill Lynch Japan,1,12330,マネックス証券,Monex,3,165120018,FUT_NK225_2012,2020-08-25
57,12176,ドイツ証券,Deutsche Securities,1,12792,メリルリンチ日本証券,Merrill Lynch Japan,3,165120018,FUT_NK225_2012,2020-08-25
60,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,132857,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,135223,165090019,FUT_NK225M_2009,2020-08-25
61,11788,ソシエテ・ジェネラル,Societe Generale,59611,11788,ソシエテ・ジェネラル,Societe Generale,57408,165090019,FUT_NK225M_2009,2020-08-25
62,11256,ＳＢＩ証券,SBI SECURITIES,18866,11256,ＳＢＩ証券,SBI SECURITIES,19526,165090019,FUT_NK225M_2009,2020-08-25
63,12560,松井証券,MATSUI SECURITIES,13197,12792,メリルリンチ日本証券,Merrill Lynch Japan,14258,165090019,FUT_NK225M_2009,2020-08-25
