,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,12000,大和証券,Daiwa Securities,2704,11792,シティグループ証券,Citigroup Japan,1819,165090005,FUT_TOPIX_2009,2020-08-28
3,12800,モルガンスタンレー,Morgan Stanley MUFG,2061,11788,ソシエテ・ジェネラル,Societe Generale,1696,165090005,FUT_TOPIX_2009,2020-08-28
4,11792,シティグループ証券,Citigroup Japan,619,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,1126,165090005,FUT_TOPIX_2009,2020-08-28
5,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,240,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,626,165090005,FUT_TOPIX_2009,2020-08-28
6,12400,野村證券,Nomura Securities,177,11746,ＵＢＳ証券,UBS Securities Japan,373,165090005,FUT_TOPIX_2009,2020-08-28
7,12792,メリルリンチ日本証券,Merrill Lynch Japan,176,12400,野村證券,Nomura Securities,188,165090005,FUT_TOPIX_2009,2020-08-28
8,11560,ゴールドマンサックス,Goldman Sachs Japan,109,12792,メリルリンチ日本証券,Merrill Lynch Japan,100,165090005,FUT_TOPIX_2009,2020-08-28
9,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,70,11696,みずほ証券,Mizuho Securities,99,165090005,FUT_TOPIX_2009,2020-08-28
10,11256,ＳＢＩ証券,SBI SECURITIES,53,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,73,165090005,FUT_TOPIX_2009,2020-08-28
11,12072,東海東京証券,Tokai Tokyo Sec,10,11256,ＳＢＩ証券,SBI SECURITIES,53,165090005,FUT_TOPIX_2009,2020-08-28
12,11788,ソシエテ・ジェネラル,Societe Generale,4,11560,ゴールドマンサックス,Goldman Sachs Japan,44,165090005,FUT_TOPIX_2009,2020-08-28
13,-,-,-,-,12800,モルガンスタンレー,Morgan Stanley MUFG,11,165090005,FUT_TOPIX_2009,2020-08-28
14,-,-,-,-,12072,東海東京証券,Tokai Tokyo Sec,10,165090005,FUT_TOPIX_2009,2020-08-28
15,-,-,-,-,12000,大和証券,Daiwa Securities,4,165090005,FUT_TOPIX_2009,2020-08-28
16,-,-,-,-,11714,ＪＰモルガン証券,JPMorgan Japan,1,165090005,FUT_TOPIX_2009,2020-08-28
19,11792,シティグループ証券,Citigroup Japan,4653,11792,シティグループ証券,Citigroup Japan,3161,165090018,FUT_NK225_2009,2020-08-28
20,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,2003,12400,野村證券,Nomura Securities,1724,165090018,FUT_NK225_2009,2020-08-28
21,11256,ＳＢＩ証券,SBI SECURITIES,1192,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,1332,165090018,FUT_NK225_2009,2020-08-28
22,12400,野村證券,Nomura Securities,1103,11256,ＳＢＩ証券,SBI SECURITIES,1192,165090018,FUT_NK225_2009,2020-08-28
23,11746,ＵＢＳ証券,UBS Securities Japan,932,11696,みずほ証券,Mizuho Securities,1061,165090018,FUT_NK225_2009,2020-08-28
24,11788,ソシエテ・ジェネラル,Societe Generale,688,11714,ＪＰモルガン証券,JPMorgan Japan,854,165090018,FUT_NK225_2009,2020-08-28
25,12792,メリルリンチ日本証券,Merrill Lynch Japan,559,12792,メリルリンチ日本証券,Merrill Lynch Japan,767,165090018,FUT_NK225_2009,2020-08-28
26,11560,ゴールドマンサックス,Goldman Sachs Japan,447,11788,ソシエテ・ジェネラル,Societe Generale,707,165090018,FUT_NK225_2009,2020-08-28
