,institutions_sell_code,institutions_sell,institutions_sell_eng,volume_sell,institutions_buy_code,institutions_buy,institutions_buy_eng,volume_buy,JPX_code,instrument,date
2,11788,ソシエテ・ジェネラル,Societe Generale,10499,11788,ソシエテ・ジェネラル,Societe Generale,11000,166030005,FUT_TOPIX_2103,2021-01-18
3,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10187,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10506,166030005,FUT_TOPIX_2103,2021-01-18
4,12400,野村證券,Nomura Securities,1239,12400,野村證券,Nomura Securities,1344,166030005,FUT_TOPIX_2103,2021-01-18
5,12410,バークレイズ証券,Barclays Japan,1167,12792,BofA証券,BofA Securities,875,166030005,FUT_TOPIX_2103,2021-01-18
6,12800,モルガンスタンレー,Morgan Stanley MUFG,1049,12410,バークレイズ証券,Barclays Japan,850,166030005,FUT_TOPIX_2103,2021-01-18
7,12792,BofA証券,BofA Securities,933,11560,ゴールドマンサックス,Goldman Sachs Japan,781,166030005,FUT_TOPIX_2103,2021-01-18
8,11635,クレディ・スイス証券,Credit Suisse Japan,792,11635,クレディ・スイス証券,Credit Suisse Japan,514,166030005,FUT_TOPIX_2103,2021-01-18
9,11714,ＪＰモルガン証券,JPMorgan Japan,671,11696,みずほ証券,Mizuho Securities,455,166030005,FUT_TOPIX_2103,2021-01-18
10,11696,みずほ証券,Mizuho Securities,329,12800,モルガンスタンレー,Morgan Stanley MUFG,437,166030005,FUT_TOPIX_2103,2021-01-18
11,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),305,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),415,166030005,FUT_TOPIX_2103,2021-01-18
12,12176,ドイツ証券,Deutsche Securities,287,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,384,166030005,FUT_TOPIX_2103,2021-01-18
13,12795,インタラクティブ証券,Interactive Brokers,234,11714,ＪＰモルガン証券,JPMorgan Japan,379,166030005,FUT_TOPIX_2103,2021-01-18
14,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,186,11746,ＵＢＳ証券,UBS Securities Japan,166,166030005,FUT_TOPIX_2103,2021-01-18
15,11746,ＵＢＳ証券,UBS Securities Japan,184,12176,ドイツ証券,Deutsche Securities,146,166030005,FUT_TOPIX_2103,2021-01-18
16,11560,ゴールドマンサックス,Goldman Sachs Japan,183,12000,大和証券,Daiwa Securities,142,166030005,FUT_TOPIX_2103,2021-01-18
17,12000,大和証券,Daiwa Securities,149,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,119,166030005,FUT_TOPIX_2103,2021-01-18
18,12464,廣田証券,HIROTA SECURITIES,127,12336,日産証券,Nissan Securities,105,166030005,FUT_TOPIX_2103,2021-01-18
19,11256,ＳＢＩ証券,SBI SECURITIES,83,12464,廣田証券,HIROTA SECURITIES,94,166030005,FUT_TOPIX_2103,2021-01-18
20,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,75,12724,ＨＳＢＣ証券,HSBC (Japan),82,166030005,FUT_TOPIX_2103,2021-01-18
21,11272,岡三証券,OKASAN SECURITIES,59,11256,ＳＢＩ証券,SBI SECURITIES,60,166030005,FUT_TOPIX_2103,2021-01-18
24,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10929,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,10556,166030018,FUT_NK225_2103,2021-01-18
25,11788,ソシエテ・ジェネラル,Societe Generale,8380,11788,ソシエテ・ジェネラル,Societe Generale,8707,166030018,FUT_NK225_2103,2021-01-18
26,12400,野村證券,Nomura Securities,1299,12800,モルガンスタンレー,Morgan Stanley MUFG,1254,166030018,FUT_NK225_2103,2021-01-18
27,11714,ＪＰモルガン証券,JPMorgan Japan,1140,11635,クレディ・スイス証券,Credit Suisse Japan,1041,166030018,FUT_NK225_2103,2021-01-18
28,11746,ＵＢＳ証券,UBS Securities Japan,936,11256,ＳＢＩ証券,SBI SECURITIES,867,166030018,FUT_NK225_2103,2021-01-18
29,11256,ＳＢＩ証券,SBI SECURITIES,774,12400,野村證券,Nomura Securities,834,166030018,FUT_NK225_2103,2021-01-18
30,11560,ゴールドマンサックス,Goldman Sachs Japan,634,11714,ＪＰモルガン証券,JPMorgan Japan,804,166030018,FUT_NK225_2103,2021-01-18
31,12057,楽天証券,Rakuten Securities,512,12057,楽天証券,Rakuten Securities,615,166030018,FUT_NK225_2103,2021-01-18
32,12560,松井証券,MATSUI SECURITIES,511,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,593,166030018,FUT_NK225_2103,2021-01-18
33,12410,バークレイズ証券,Barclays Japan,506,12410,バークレイズ証券,Barclays Japan,592,166030018,FUT_NK225_2103,2021-01-18
34,11520,三菱ＵＦＪモルガン,Mitsubishi UFJ Mor,446,12792,BofA証券,BofA Securities,526,166030018,FUT_NK225_2103,2021-01-18
35,12792,BofA証券,BofA Securities,397,12560,松井証券,MATSUI SECURITIES,509,166030018,FUT_NK225_2103,2021-01-18
36,12176,ドイツ証券,Deutsche Securities,326,12336,日産証券,Nissan Securities,373,166030018,FUT_NK225_2103,2021-01-18
37,11696,みずほ証券,Mizuho Securities,321,11696,みずほ証券,Mizuho Securities,339,166030018,FUT_NK225_2103,2021-01-18
38,12800,モルガンスタンレー,Morgan Stanley MUFG,279,11746,ＵＢＳ証券,UBS Securities Japan,293,166030018,FUT_NK225_2103,2021-01-18
39,12072,東海東京証券,Tokai Tokyo Sec,275,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),272,166030018,FUT_NK225_2103,2021-01-18
40,11635,クレディ・スイス証券,Credit Suisse Japan,264,11060,ａｕカブコム証券,au Kabucom Securitie,266,166030018,FUT_NK225_2103,2021-01-18
41,12000,大和証券,Daiwa Securities,238,12330,マネックス証券,Monex,189,166030018,FUT_NK225_2103,2021-01-18
42,11060,ａｕカブコム証券,au Kabucom Securitie,226,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,162,166030018,FUT_NK225_2103,2021-01-18
43,12336,日産証券,Nissan Securities,201,11560,ゴールドマンサックス,Goldman Sachs Japan,150,166030018,FUT_NK225_2103,2021-01-18
46,11788,ソシエテ・ジェネラル,Societe Generale,45,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,43,166060018,FUT_NK225_2106,2021-01-18
47,11060,ａｕカブコム証券,au Kabucom Securitie,20,11788,ソシエテ・ジェネラル,Societe Generale,33,166060018,FUT_NK225_2106,2021-01-18
48,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,17,11060,ａｕカブコム証券,au Kabucom Securitie,17,166060018,FUT_NK225_2106,2021-01-18
49,12560,松井証券,MATSUI SECURITIES,15,12560,松井証券,MATSUI SECURITIES,14,166060018,FUT_NK225_2106,2021-01-18
50,12336,日産証券,Nissan Securities,12,11256,ＳＢＩ証券,SBI SECURITIES,9,166060018,FUT_NK225_2106,2021-01-18
51,11256,ＳＢＩ証券,SBI SECURITIES,11,12057,楽天証券,Rakuten Securities,7,166060018,FUT_NK225_2106,2021-01-18
52,12057,楽天証券,Rakuten Securities,10,12330,マネックス証券,Monex,7,166060018,FUT_NK225_2106,2021-01-18
53,12330,マネックス証券,Monex,7,12336,日産証券,Nissan Securities,6,166060018,FUT_NK225_2106,2021-01-18
54,11784,ＳＢＩネオトレード,SBI Neotrade,1,12328,ＳＭＢＣ日興証券,SMBC Nikko Sec,2,166060018,FUT_NK225_2106,2021-01-18
57,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,8409,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,8609,166020019,FUT_NK225M_2102,2021-01-18
58,11788,ソシエテ・ジェネラル,Societe Generale,2857,11788,ソシエテ・ジェネラル,Societe Generale,2779,166020019,FUT_NK225M_2102,2021-01-18
59,11256,ＳＢＩ証券,SBI SECURITIES,1783,12057,楽天証券,Rakuten Securities,1527,166020019,FUT_NK225M_2102,2021-01-18
60,12057,楽天証券,Rakuten Securities,1533,11256,ＳＢＩ証券,SBI SECURITIES,1507,166020019,FUT_NK225M_2102,2021-01-18
61,11060,ａｕカブコム証券,au Kabucom Securitie,579,11060,ａｕカブコム証券,au Kabucom Securitie,622,166020019,FUT_NK225M_2102,2021-01-18
62,12560,松井証券,MATSUI SECURITIES,307,12560,松井証券,MATSUI SECURITIES,295,166020019,FUT_NK225M_2102,2021-01-18
63,12330,マネックス証券,Monex,254,12330,マネックス証券,Monex,281,166020019,FUT_NK225M_2102,2021-01-18
64,11784,ＳＢＩネオトレード,SBI Neotrade,189,11784,ＳＢＩネオトレード,SBI Neotrade,215,166020019,FUT_NK225M_2102,2021-01-18
65,11727,ＧＭＯクリック証券,GMO CLICK Securities,120,11727,ＧＭＯクリック証券,GMO CLICK Securities,134,166020019,FUT_NK225M_2102,2021-01-18
66,11272,岡三証券,OKASAN SECURITIES,94,11272,岡三証券,OKASAN SECURITIES,85,166020019,FUT_NK225M_2102,2021-01-18
67,12400,野村證券,Nomura Securities,70,12000,大和証券,Daiwa Securities,71,166020019,FUT_NK225M_2102,2021-01-18
68,12000,大和証券,Daiwa Securities,54,12410,バークレイズ証券,Barclays Japan,59,166020019,FUT_NK225M_2102,2021-01-18
69,11216,永和証券,Eiwa Securities,27,12400,野村證券,Nomura Securities,50,166020019,FUT_NK225M_2102,2021-01-18
70,12336,日産証券,Nissan Securities,18,11216,永和証券,Eiwa Securities,24,166020019,FUT_NK225M_2102,2021-01-18
71,11840,立花証券,TACHIBANA SECURITIES,17,12336,日産証券,Nissan Securities,23,166020019,FUT_NK225M_2102,2021-01-18
72,12792,BofA証券,BofA Securities,10,12795,インタラクティブ証券,Interactive Brokers,16,166020019,FUT_NK225M_2102,2021-01-18
73,11714,ＪＰモルガン証券,JPMorgan Japan,2,12792,BofA証券,BofA Securities,10,166020019,FUT_NK225M_2102,2021-01-18
74,12795,インタラクティブ証券,Interactive Brokers,1,11512,光世証券,The Kosei Securities,10,166020019,FUT_NK225M_2102,2021-01-18
